db_id,imdb_id,name,next_golden_win,next_golden_nominate,pre_golden_win_num,pre_golden_nominate_num,pre_golden_total,pre_oscars_win_num,pre_oscars_nominate_num,pre_oscars_total,pre_actor_win_num,pre_actor_nominate_num,pre_actor_total,pre_bafta_win_num,pre_bafta_nominate_num,pre_bafta_total,pre_independent_win_num,pre_independent_nominate_num,pre_independent_total,pre_critic_win_num,pre_critic_nominate_num,pre_critic_total,pre_mtv_win_num,pre_mtv_nominate_num,pre_mtv_total,pre_wga_win_num,pre_wga_nominate_num,pre_wga_total,pre_dga_win_num,pre_dga_nominate_num,pre_dga_total,pre_win_total,pre_nominate_total,pre_total,first_movie_year,first_award_year,break_years,movie_imdb_id,experience,max_budget,max_gross,max_meta_score,max_imdb_rating
2053510,NULL,Aaliyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,999,NULL,0,25000000,55973336,52.0,6.0
2058063,725,"Adams, Joey Lauren",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1993,1998,5,NULL,7,10000000,3060963,23.0,6.2
2068069,18308,"Alexander, Carol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,999,NULL,0,15000000,4734235,40.0,6.0
2071121,NULL,"Allen, Jaime Leigh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,999,NULL,0,NULL,113512,85.0,8.0
2071189,260,"Allen, Joan",0,1,0,1,1,0,2,2,0,0,0,0,1,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,2,6,8,1978,1996,18,208874,22,20000000,17804273,59.0,7.0
2076119,24404,"Ambrose, Lauren",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,0,999,NULL,3,1500000,265107,71.0,6.4
2079400,96,"Anderson, Gillian",0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1992,1996,4,NULL,8,10000000,3041803,78.0,7.1
2086381,270,"Anwar, Gabrielle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,0,999,NULL,11,14000000,NULL,NULL,6.2
2089133,271,"Archer, Anne",0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1972,1988,16,NULL,28,60000000,61322858,45.0,6.3
2092650,36651,"Arnold, Tichina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,0,999,NULL,14,30000000,117559438,33.0,6.4
2093105,99,"Arquette, Patricia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,0,999,NULL,13,80000000,39442871,38.0,5.3
2093106,275,"Arquette, Rosanna",0,0,0,1,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1979,1986,7,NULL,21,24000000,57262492,47.0,6.7
2104776,46002,"Badel, Sarah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,0,999,NULL,9,3500000,299351,52.0,5.4
2108446,49176,"Bakker, Tammy Faye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,0,999,NULL,9,NULL,1025234,69.0,7.2
2111375,843,"Bancroft, Anne",0,0,2,8,10,1,5,6,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,26,1952,1963,11,NULL,48,30000000,37036404,60.0,6.5
2114227,53887,"Barbuscia, Lisa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,0,999,NULL,5,15000000,12801190,21.0,4.5
2116221,55794,"Barnes, Susan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,0,999,NULL,21,24000000,25167270,69.0,6.3
